Title,Vendor,Source_Project,License_Category,Item_No,Quantity,Metric,Type,Ready_for_Procurement,License_Server_Planned,Priority_Date,Priority_Reason,Changes_Since_Feb_2025,Changes_from_Local_List,Action,Responsible,Due_Date,Comment,Comment_2
SEJ-00002 Power Apps Premium Sub Per User,Microsoft,FRAME,Subscription,n/a,15,User,Subscription,n/a,,,,,,,,,duplicate,
1O4-00001 Power Automate Premium Sub Per User,Microsoft,FRAME,Subscription,55,10,User,Subscription,y,,,,,,,,,,
8F5-00001 Power Automate Process Sub,Microsoft,FRAME,Subscription,55,2,Process,Subscription,y,,,,,,,,,,
J8Q-00005	Power Apps Per App Sub 1 App or Website,Microsoft,FRAME,Subscription,55,500,App,Subscription,y,,,,,,,,,,
SEJ-00002	Power Apps Premium Sub Per User,Microsoft,FRAME,Subscription,55,10,User,Subscription,y,,,,,,,,,,
J8Q-00005 Power Apps Per App Sub 1 App or Website,Microsoft,FRAME,Subscription,n/a,500,App,Subscription,n/a,,,,,,,,,duplicate,
Power BI Premium Capacities,Microsoft,FRAME,Subscription,55,,,Subscription,n,,,,,,,,,30.04: Still in clarificaton,Update 30.04.25: Still no update - see email from Karl-Heinz Jansen (BT/BDO-DO-ST) >> to be covered via Azure contract (PAYG); -  Chris Schygulla 3.2.25: Sicher werden Premium Kapazitäten benötigt. Mangels Governance/ Ownership BT kann der Umfang nicht bewertet werden: 11.33.25: auf Nachfrage keine weiteren Details derzeit verfügbar
Github Copilot Business,Microsoft,FRAME,Subscription,55,150,User,Subscription,y,,,,,,,,,,
RDS Cal,Microsoft,FRAME,tbd,55,200,User,tbd,y,,,,,,,,,,
E5 Security Add On,Microsoft,FRAME,Subscription,n/a,3251,User,Subscription,n/a,,,,x,,,,,no longer required,will not be used as per Anton (3/14/2025)
Windows 10/11 Enterprise,Microsoft,FRAME,tbd,55,331,Devices,tbd,y,KMS,,,x,,,,,,added application
Github Advanced Security,Microsoft,FRAME,Subscription,55,12,User,Subscription,y,,,,x,,,,,,
Azure,Microsoft,FRAME,Paid License,55,,Pay as you go,,y,,,,,,,,,Setup contract direct or via Cloud Service Provider,
MinIO,"MinIO, Inc.",FRAME,Paid License,57,based on capacity / storage: 12k/100tb yearly,,,already ordered locally,,,,2025-05-14 00:00:00,x,,,,14.05.2025 already ordered,
Minitab Statistical,Minitab,FRAME,Subscription,58,178,User,Subscription,y,,,,,,,,,,
Miro Enterprise,Miro,FRAME,Subscription,59,250,User,Subscription,procurement in progress by workstream outside license management,,2025-05-26 00:00:00,Instance has to be available for migration,2025-05-13 00:00:00,,,Stefan Müller,,Will be purchesed via Keenfinity,13.05: Email to Michal & Davide to start purchasing process
MobaXterm Professional,Mobatek,FRAME,Perpetual,60,34,User,Perpetual,y,,,,,,,,,,
MongoDB,Mongodb,FRAME,Paid License,n/a,1,,,n/a,,,,x,x,,,,migration of existing service to new AWS contract,
EConnect Pro Control,"MX Transmite, SAPI de CV",FRAME,Paid License,n/a,Unlimited (User name licenses),,,n/a,,,,2025-04-30 00:00:00,x,,,,not requered,See Email from Dietmar Walter / 30.04.25
maiConnect,Nagarro ES GmbH,FRAME,Paid License,62,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
LabVIEW Professional Development System,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabWindows/CVI Full Development System,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
NI Measurement Studio Enterprise Edition,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW MathScript Module,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Unit Test Framework Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW VI Analyzer Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Digital Filter Design Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Advanced Signal Processing Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Desktop Execution Trace Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabWindows/CVI Signal Processing Toolkit,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW DataFinder Toolkit*,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
NI SignalExpress*,National Instrument,FRAME,tbd,63,64,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW for Mac and Linux,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Electrical Power Toolkit,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
ECU Measurement and Calibration Toolkit,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Automotive Diagnostic Command Set,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabWindows/CVI PID Control Toolkit,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabWindows/CVI SQL Toolkit,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
NI-Industrial Communications for Ethernet/IP,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Statechart Module*,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Analog Waveform Editor*,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Digital Waveform Editor*,National Instrument,FRAME,tbd,63,27,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
TestStand,National Instrument,FRAME,tbd,63,38,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Switch Executive,National Instrument,FRAME,tbd,63,38,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
TestStand ATML Toolkit,National Instrument,FRAME,tbd,63,38,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Requirements Gateway,National Instrument,FRAME,tbd,63,21,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Real-Time Module,National Instrument,FRAME,tbd,63,30,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW FPGA Module,National Instrument,FRAME,tbd,63,30,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Analytics and Machine Learning,National Instrument,FRAME,tbd,63,10,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW FPGA Compilation Tools,National Instrument,FRAME,tbd,63,10,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabWindows/CVI Real-Time Module,National Instrument,FRAME,tbd,63,10,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW OPC UA Toolkit,National Instrument,FRAME,tbd,63,10,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
NI Motion Assistant*,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Sound and Vibration Toolkit,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Vision Development Module,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
Vision Builder for Automated Inspection,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Modulation Toolkit,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW SoftMotion Module*,National Instrument,FRAME,tbd,63,7,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Datalogging and Supervisory Control Module,National Instrument,FRAME,tbd,63,4,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Control Design and Simulation Module,National Instrument,FRAME,tbd,63,4,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
LabVIEW Model Interface Toolkit,National Instrument,FRAME,tbd,63,4,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
VeriStand,National Instrument,FRAME,tbd,63,4,User,tbd,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,decide on licenses model,
NetApp,NetApp,FRAME,Paid License,64,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input Chris Schneider
,nextapp.co,FRAME,Sue Saeger 19.12.,n/a,,,Sue Saeger 19.12.,n/a,,,,,,,,,"not in scope, local",
Nexthink Collector,Nexthink,FRAME,SWS1,n/a,duplicate,,SWS1,n/a,,,,,,,,,,
Collector,Nextthink,FRAME,tbd,n/a,3523,device,tbd,n/a,,,,,,,SWS1,,Product discontinued,
SAAE,Nía International Systems SA de CV,FRAME,Paid License,n/a,Unlimited (User name licenses),,,n/a,,,,2025-04-30 00:00:00,x,,,,not requered,See Email from Dietmar Walter / 30.04.25
"GTXXI, SAAE  (maquiladora)","Nia, Roca",FRAME,Paid License,66,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
Nvidia vGPU,NVIDIA Corporation & affiliates,FRAME,Paid License,n/a,not defined yet,,,n/a,,,,x,x,,,,no need,
BT-ST Open Text: StreamServer 16.6.5,OpenText,FRAME,Paid License,67,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
Bosch Transfer Price Management (Optravis),Optravis,FRAME,Paid License,68,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_32907
Transferprice Management Tool (Optravis),Optravis,FRAME,Paid License,68,,,,procurement in progress by workstream outside license management,,,,,,,,,,RBCM2363
Database Standard Edition 2,Oracle,FRAME,Perpetual,69,2,Sockets,Perpetual,In discussion: 12 Months TSA,,,,,,,,,,"Falco: 2 Standorte, je 1 Server, 1 CPU pro Server"
Oracle JRE (Java),Oracle,FRAME,Subscription,69,4300,User,Subscription,y,,,,,,,SWS1,,,
Virtualbox,Oracle,FRAME,Subscription,69,214,User,Subscription,y,,,,,,,,,,
SQL 2022???,Oracle,FRAME,SOL 99057,n/a,,,SOL 99057,n/a,,,,x,,,,,clarified with Jose: MS SQL already covered by Input from Falco,"clarified, Vendor Microsoft, Covered"
Database Enterprise Edition,Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Tuning Pack,Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Partinioning,Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Advanced Compression,Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Diagnostics Pack,Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Database-In-Memory (auf PFK und PF5),Oracle (SAP DB),FRAME,Perpetual or Term License,69,1930,Named User Plus,Perpetual or Term License,In discussion: 12 Months TSA,,,,,,Clarify TSA,SWS2,,Alternative to Named User: license 168 Oracle Processors (equals 7 Hosts with 48 cores each),
Taris,Pathlock,FRAME,Paid License,70,"15 Systems, 4400 User",,,procurement in progress by workstream outside license management,,,,,,,,,,
iQ-Audit 2.3,Peak Avenue,FRAME,Paid License,71,,,,procurement in progress by workstream outside license management,,,,,,,,,"not part of the project, this solution will not be provided by the project",SOL_64843
IQ-Audit by AHP,Peak Avenue,FRAME,Paid License,71,,,,procurement in progress by workstream outside license management,,,,,,,,,"not part of the project, this solution will not be provided by the project",SOL_18364
eISIR,Peak Avenue,FRAME,Paid License,71,,,,procurement in progress by workstream outside license management,,,,,,,,,"not part of the project, this solution will not be provided by the project",SOL_83961
Pit-CAD,pit-cup,FRAME,unknown,72,2,User,unknown,n/a,,,,2025-04-15 00:00:00,,,,,"Update 03.06: Continuation of the previous solution is not possible; therefore, no license procurement is required.","Update 03.06.25: Continuation of the previous solution is not possible; therefore, no license procurement is required. Alternative solution is the responsibility of the Real Estate Workstream (Stefan Reinhardt) - See also SOL. Aligned with Christian Schygula & Thomas Buettner. See also teams massage to Tobias Müller Keenfinity."
Pit-FM,pit-cup,FRAME,unknown,72,6,User,unknown,n/a,,,,2025-04-15 00:00:00,,,,,"Update 03.06:Continuation of the previous solution is not possible; therefore, no license procurement is required.","Update 03.06.25: Continuation of the previous solution is not possible; therefore, no license procurement is required. Alternative solution is the responsibility of the Real Estate Workstream (Stefan Reinhardt) - See also SOL. Aligned with Christian Schygula & Thomas Buettner. See also teams massage to Tobias Müller Keenfinity."
Postman Basic Plan,"Postman, Inc.",FRAME,Paid License,73,25,User,,y,,,,x,x,,,,https://www.postman.com/pricing/ ($14/month per user if billed annually),
GTXXI,PRISMA Tecnología Computacional SA de CV,FRAME,Paid License,n/a,Unlimited (User name licenses),,,n/a,,,,2025-04-30 00:00:00,x,,,,not requered,See Email from Dietmar Walter / 30.04.25
BT-VS productboard.com,productboard,FRAME,Paid License,75,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_99086
Loadmaster (VLM-1G) with Enterprise Plus Subscription,Progress,FRAME,Subscription,76,4,Instances,Subscription,y,,,,,,,,,,
Edifact,Proveedor Autorizado de Certificacion EdifactMX SA de CV,FRAME,Paid License,n/a,20 (user name licenses),,,n/a,,,,2025-04-30 00:00:00,x,,,,not requered,See Email from Dietmar Walter / 30.04.25
PTC-WindchillPDMLink-Contributor,PTC,FRAME,Subscription,n/a,29,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-Creo,PTC,FRAME,Subscription,n/a,58,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-eBOM,PTC,FRAME,Subscription,n/a,5,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-eBOM-ACAD,PTC,FRAME,Subscription,n/a,3,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-eBOM-Creo,PTC,FRAME,Subscription,n/a,28,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-eBOM-Creo-ACAD,PTC,FRAME,Subscription,n/a,4,User,Subscription,n/a,,,,,,,,,,
PTC-WindchillPDMLink-Viewer,PTC,FRAME,Subscription,n/a,6,User,Subscription,n/a,,,,,,,,,,
Service: PTC-Creo-Stand-Alone / License: Creo Advanced Assembly Extension - Global License,PTC,FRAME,Subscription,78,25,Global Floating,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-05-16 00:00:00,,,,,11 users + 63 user from Windchill base: -> 25 global floating,"license details added, quantity updated"
Service: PTC-Creo-Stand-Alone / License: Creo Design Essentials Global (no PLM included),PTC,FRAME,Subscription,78,25,Global Floating,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-05-16 00:00:00,,,,,11 users + 63 user from Windchill base: -> 25 global floating,"license details added, quantity updated"
PTC-CreoView-Stand-Alone,PTC,FRAME,Subscription,n/a,10,User,Subscription,n/a,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-05-16 00:00:00,,,,,"Recoomendation Martin Lehrke: do not use, Windchill users have functionality included, standalone is around the process",
Service: PTC-WindchillPDMLink-Creo / License:	Windchill Base,PTC,FRAME,Subscription,78,73,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-06-06 00:00:00,,,,,"Update 06.06: Quantity adjusted from 63 to 73 according Email from Max Zehrt >> Email to Dietmar Walter to inform Triton accordingly
license details added, quantity updated","Update 06.06: Quantity adjusted from 63 to 73 according Email from Max Zehrt >> Email to Dietmar Walter to inform Triton accordingly
license details added, quantity updated"
Service: PTC-WindchillPDMLink-Creo / License: Windchill Creo Data Management & Visualization,PTC,FRAME,Subscription,78,73,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-06-06 00:00:00,,,,,"Update 06.06: Quantity adjusted from 63 to 73 according Email from Max Zehrt >> Email to Dietmar Walter to inform Triton accordingly
license details added, quantity updated","Update 06.06: Quantity adjusted from 63 to 73 according Email from Max Zehrt >> Email to Dietmar Walter to inform Triton accordingly
license details added, quantity updated"
Tool Design Option,PTC,FRAME,Subscription,78,1,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Complete Machining Option,PTC,FRAME,Subscription,78,2,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Creo Advanced Assembly Extension (former,PTC,FRAME,Subscription,n/a,71,User,Subscription,n/a,WS04a | FlexLM,22.06.2025,Set Up Licence Server,2025-04-29 00:00:00,,,,,duplicate,
Creo View Validate (formerly ProductView),PTC,FRAME,Subscription,78,4,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Mathcad Prime,PTC,FRAME,Subscription,78,13,User,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,,,,,,,
Arbortext,PTC,FRAME,Subscription,n/a,6,User,Subscription,n/a,WS04a | FlexLM,22.06.2025,Set Up Licence Server,15.04.2025,,,,,,consolidated into PTC-Arbortext-IsoDraw-CreoIllustrate
IsoDraw,PTC,FRAME,Subscription,n/a,6,User,Subscription,n/a,WS04a | FlexLM,22.06.2025,Set Up Licence Server,15.04.2025,,,,,,consolidated into PTC-Arbortext-IsoDraw-CreoIllustrate
Creo Elements / Direct - Modeling subscr. (SPN-CC200-F-),PTC,FRAME,Subscription,78,12,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Model Manager subscr. (SPN-CC210-F-),PTC,FRAME,Subscription,78,14,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Workflow Client subscr.,PTC,FRAME,Subscription,78,7,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  WM Documents subscr.,PTC,FRAME,Subscription,78,7,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Interface for Adobe 3D PDF subscr.,PTC,FRAME,Subscription,78,1,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Surfacing subscr. (SPN-CC250-F-),PTC,FRAME,Subscription,78,1,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Sheet Metal subscr.(SPN-CC320-F-),PTC,FRAME,Subscription,78,1,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Creo Elements / Direct -  Finite Element Analysis subscr. (SPN-CC345-F-),PTC,FRAME,Subscription,78,1,,Subscription,Y,,22.06.2025,,2025-05-16 00:00:00,,,,,Added on 15.05.2025,
Service: PTC-Arbortext-IsoDraw-CreoIllustrate / License: Arbortex Editor & Styler,PTC,FRAME,Subscription,n/a,7,User,Subscription,n/a,,,,2025-04-29 00:00:00,,,,,no longer required,Update 29.04: See Email from Max Zehrt - not longer required
Service: PTC-Arbortext-IsoDraw-CreoIllustrate / License: illustrate,PTC,FRAME,Subscription,n/a,7,User,Subscription,n/a,,,,2025-04-29 00:00:00,,,,,no longer required,Update 29.04: See Email from Max Zehrt - not longer required
Service: PTC-Arbortext-IsoDraw-CreoIllustrate / License: arbortext IsoDraw,PTC,FRAME,Subscription,n/a,7,User,Subscription,n/a,,,,2025-04-29 00:00:00,,,,,no longer required,Update 29.04: See Email from Max Zehrt - not longer required
Creo Simulation Live	(•	Creo Simulation Live),PTC,FRAME,Subscription,78,1,Floating,Subscription,y,WS04a | FlexLM,22.06.2025,Set Up Licence Server,15.04.2025,,,,,line item added,line item added
Qualtrics,Qualtrics,FRAME,Paid License,79,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_53289
Quanos ST-Server 24,Quanos,FRAME,Paid License,80,,,,procurement in progress by workstream outside license management,,,,,,,,,,Input from BT purchasing and controlling list - entered by Stefan M.
UltraMon,Realtime Soft,FRAME,Paid License,81,,,,n/a,,,,2025-05-15 00:00:00,x,,,,"15.05: no purchase needed, purchase perpetual license locally long time ago",Updade 28.04.25: see Email Mr. Ridder to Harald Schoengen - not critical
"Redhat Enterprise Linux Standard Support, bundled with Satellite",Redhat,FRAME,Subscription,82,40,Node,Subscription,y,,,,,,,SWS1,,,
Satellite,Redhat,FRAME,Subscription,n/a,40,,Subscription,n/a,,,,,,,,,,
Integration Point GTV,Reuters,FRAME,Paid License,83,,,,procurement in progress by workstream outside license management,,,,,,,,,,SOL_77915
Revizto,Revizto,FRAME,Paid License,84,2,User,,y,,,,,,,,,,
iTWO Baseline,RiB,FRAME,unknown,85,3,Concurrent User,unknown,y,,,,,,,,,,
iTWO 5D,RiB,FRAME,unknown,85,3,Concurrent User,unknown,y,,,,,,,,,,
iTWO tx Volumen 3.000,RiB,FRAME,unknown,85,3,Packs,unknown,y,,,,,,,,,,
Passolo,RWS,FRAME,Paid License,n/a,2,,,n/a,WS04a | FlexLM,,,x,x,,,,,
Passolo Professional Edition (Network SN),RWS (Trados),FRAME,Paid License,n/a,1,User,,n/a,WS04a | FlexLM,,,04.04.2025,x,,,,already purchased,
Passolo .NET Add-in,RWS (Trados),FRAME,Paid License,n/a,1,User,,n/a,WS04a | FlexLM,,,04.04.2025,x,,,,already purchased,
Passolo Delphi Add-in,RWS (Trados),FRAME,Paid License,n/a,,User,,n/a,WS04a | FlexLM,,,04.04.2025,x,,,,already purchased,
Passolo Java Add-in,RWS (Trados),FRAME,Paid License,n/a,,User,,n/a,WS04a | FlexLM,,,04.04.2025,x,,,,already purchased,
eForms NG,S.A.X.,FRAME,tbd,n/a,3251,User,tbd,n/a,,,,,,,,,WS3: out of scope,
7017299	SAP Single Sign-On,SAP,FRAME,Perpetual,86,38,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,SSO no longer available. Successor „Secure Logging Service for SAP GUI“ only available as cloud product.​,
7017328	SAP CRM Sales,SAP,FRAME,Perpetual,86,694,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,Product discontinued,
7017330	SAP CRM Service,SAP,FRAME,Perpetual,86,1005,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,Product discontinued,
"7018629	SAP Landscape Transformation, enterprise edition",SAP,FRAME,Perpetual,n/a,6,,Perpetual,n/a,,,,,,,,,no longer required,
7018652	SAP S/4HANA Enterprise Management for Professional use,SAP,FRAME,Perpetual,86,1429,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,x,,,,,Agree on dual use right for ECC​; evaluate user license types based on STAR-Report,updated based on STAR report
7018653	SAP S/4HANA Enterprise Management for Productivity use,SAP,FRAME,Perpetual,86,185,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,x,,,,,,updated based on STAR report
7018654	SAP S/4HANA Enterprise Management for Functional use,SAP,FRAME,Perpetual,86,150,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,x,,,,,,updated based on STAR report
"7018682	SAP S/4HANA, Developer access",SAP,FRAME,Perpetual,86,30,User,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"BRIM: 7018705	SAP S/4HANA for convergent invoicing, 11 to 30 units",SAP,FRAME,Perpetual,86,23 blocks a 50.000.000,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
7019741	SAP Shared Service Framework for S/4HANA,SAP,FRAME,Perpetual,86,15,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020280	SAP S/4HANA Digital Access, 5001 to 10000 units",SAP,FRAME,Perpetual,86,5001,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020287	SAP Application Interface Framework, up to 50 units",SAP,FRAME,Perpetual,86,5,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020302	SAP S/4HANA Finance for cash management, 11 to 50 units",SAP,FRAME,Perpetual,86,12,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020309	SAP S/4HANA Finance for receivables management, 11 to 100 units",SAP,FRAME,Perpetual,86,12,Blocks of 100mill EUR revenue,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020500	SAP S/4HANA contract, lease and real estate management, 1501 to 5000 units",SAP,FRAME,Perpetual,86,50,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7020617	SAP Document and Reporting Compliance for S/4HANA, 11 to 100 units",SAP,FRAME,Perpetual,86,33,units,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,,,,,,,
"7021400	SAP S/4HANA Supply Chain for extended warehouse management, up to 15 units",SAP,FRAME,Perpetual,86,600000,Documents,Perpetual,"In discussion: Procurement by Bosch, Transfer",,,,x,,,,,,added application
Commerce Service Portal,SAP,FRAME,Cloud Contract,86,13487 external / 50 internal,User,Cloud Contract,procurement in progress by workstream outside license management,,,,,,,,,,
